,Date,Class
763,2016-06-17,0
764,2016-06-16,0
765,2016-06-16,0
766,2016-06-16,0
767,2016-06-16,0
768,2016-06-16,0
769,2016-06-16,1
770,2016-06-16,1
771,2016-06-15,0
772,2016-06-15,1
773,2016-06-14,1
774,2016-06-14,0
775,2016-06-13,0
776,2016-06-13,1
777,2016-06-13,0
778,2016-06-13,1
779,2016-06-13,0
780,2016-06-13,-1
781,2016-06-13,0
782,2016-06-13,1
783,2016-06-13,0
784,2016-06-13,1
785,2016-06-13,0
786,2016-06-13,1
787,2016-06-13,0
788,2016-06-13,1
789,2016-06-13,0
790,2016-06-13,0
791,2016-06-13,1
792,2016-06-13,0
793,2016-06-13,0
794,2016-06-10,0
795,2016-06-10,0
796,2016-06-10,0
797,2016-06-10,0
798,2016-06-10,0
799,2016-06-09,0
800,2016-06-09,0
801,2016-06-08,0
802,2016-06-07,0
803,2016-06-07,-1
804,2016-06-07,-1
805,2016-06-06,0
806,2016-06-04,0
807,2016-06-03,1
808,2016-06-03,1
809,2016-06-03,0
810,2016-06-03,1
811,2016-06-03,1
812,2016-06-03,0
813,2016-06-03,1
814,2016-06-03,0
815,2016-06-03,0
816,2016-06-02,0
817,2016-06-01,1
818,2016-06-01,0
819,2016-06-01,0
820,2016-05-31,1
821,2016-05-31,0
822,2016-05-31,0
823,2016-05-27,0
824,2016-05-26,0
825,2016-05-26,0
826,2016-05-26,0
827,2016-05-26,0
828,2016-05-26,0
829,2016-05-25,0
830,2016-05-25,0
831,2016-05-25,0
832,2016-05-25,0
833,2016-05-25,0
834,2016-05-25,0
835,2016-05-25,0
836,2016-05-25,0
837,2016-05-25,0
838,2016-05-25,0
839,2016-05-25,0
840,2016-05-24,0
841,2016-05-24,0
842,2016-05-24,0
843,2016-05-24,0
844,2016-05-24,0
845,2016-05-23,0
846,2016-05-23,0
847,2016-05-22,0
848,2016-05-20,-1
849,2016-05-20,0
850,2016-05-20,1
851,2016-05-20,0
852,2016-05-19,-1
853,2016-05-18,0
854,2016-05-18,0
855,2016-05-18,-1
856,2016-05-18,0
857,2016-05-18,0
858,2016-05-18,0
859,2016-05-18,0
860,2016-05-18,0
